Symbol,Timeframe,Status,ReportFile,CompletionTime
EURUSD,M1,Success,,2025-05-19 13:20:11
EURUSD,M5,Success,,2025-05-19 13:20:16
EURUSD,M15,Success,,2025-05-19 13:20:21
GBPUSD,M1,Success,,2025-05-19 13:20:27
GBPUSD,M5,Success,,2025-05-19 13:20:32
GBPUSD,M15,Success,,2025-05-19 13:20:37
