Symbol,Timeframe,Status,ReportFile,CompletionTime
EURUSD,M1,Success,,2025-05-19 13:09:00
EURUSD,M5,Success,,2025-05-19 13:10:03
EURUSD,M15,Success,,2025-05-19 13:11:36
