Symbol,Timeframe,Status,ReportFile,CompletionTime
EURUSD,M1,Success,,2025-05-19 13:08:06
EURUSD,M5,Success,,2025-05-19 13:08:12
EURUSD,M15,Success,,2025-05-19 13:08:18
GBPUSD,M1,Success,,2025-05-19 13:08:24
GBPUSD,M5,Success,,2025-05-19 13:08:30
GBPUSD,M15,Success,,2025-05-19 13:08:42
